,Zone,Date,ConfirmedCases,CasesEstimation,ImportedRisk,ConfirmedCasesWeekLater,Population
899,Iceland,2020-02-05,0,0.00030449869688886947,0.00030951361307549996,0,341250
900,Iceland,2020-02-06,0,0.0003307664896169355,0.0003356620598052,0,341250
901,Iceland,2020-02-07,0,0.00043716189608038474,0.00044399190925179996,0,341250
902,Iceland,2020-02-08,0,0.0004856129467711121,0.0004930164440679001,0,341250
903,Iceland,2020-02-09,0,0.0005108679047204412,0.0005185053794551,0,341250
904,Iceland,2020-02-10,0,0.0005625611907498329,0.0005711978551735,0,341250
905,Iceland,2020-02-11,0,0.00040203294334425707,0.0004055527559307,0,341250
906,Iceland,2020-02-12,0,0.00047654736018929627,0.0004840980494549,0,341250
907,Iceland,2020-02-13,0,0.0006766909181789053,0.0006880825956976,0,341250
908,Iceland,2020-02-14,0,5.3433159839783094e-05,5.44287914281e-05,0,341250
909,Iceland,2020-02-15,0,0.0006750198746597559,0.0006852870976080999,0,341250
910,Iceland,2020-02-16,0,0.00022720914293833703,0.00023139534270910002,0,341250
911,Iceland,2020-02-17,0,0.0008440977033969635,0.0008540734374042,0,341250
912,Iceland,2020-02-18,0,0.0007588999833045133,0.0007704369444461,0,341250
913,Iceland,2020-02-19,0,0.0005853607477625789,0.0005949150144172,0,341250
914,Iceland,2020-02-20,0,8.998523152164463e-05,9.167814206329999e-05,0,341250
915,Iceland,2020-02-21,0,0.00022074050879098068,0.0002249815451723,1,341250
916,Iceland,2020-02-22,0,0.000540844519908075,0.0005496362383692,1,341250
917,Iceland,2020-02-23,0,0.0013277568452699138,0.0013331910627549,3,341250
918,Iceland,2020-02-24,0,0.00012213525131565074,0.00012452212055289998,6,341250
919,Iceland,2020-02-25,0,3.993163413667706e-05,4.05856657194e-05,11,341250
920,Iceland,2020-02-26,0,0.0012071809727114673,0.0012268394781735999,26,341250
921,Iceland,2020-02-27,0,0.00186052220266963,0.0018931414518418002,34,341250
922,Iceland,2020-02-28,1,0.0022684236120931634,0.0023058215927354003,43,341250
923,Iceland,2020-02-29,1,0.002366012913610928,0.0024050987465838,50,341250
924,Iceland,2020-03-01,3,0.006872631510357255,0.0069832521948249,50,341250
925,Iceland,2020-03-02,6,0.009028331225359967,0.0090493969205262,58,341250
926,Iceland,2020-03-03,11,0.011353221164225744,0.0115461152158534,69,341250
927,Iceland,2020-03-04,26,0.015074610489640853,0.0153371669894918,85,341250
928,Iceland,2020-03-05,34,0.025556881973225122,0.0259695653498833,103,341250
